PRODUCTO,MARCA,PRESENTACION,CATEGORIA,PRECIO,FECHAREGISTRO,CADENACOMERCIAL,ESTADO,MUNICIPIO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,47.85,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,46.66,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,46.13,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,47.4,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,46.78,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,46.06,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,48.38,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,47.94,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,45.8,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,47.35,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,47.12,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,48.76,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,39.89,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,38.17,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,40.87,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,37.51,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,38.68,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,40.0,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,37.64,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,38.96,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,37.2,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,39.66,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,40.03,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 120 GR,CUIDADO PERSONAL,39.28,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,95.45,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,90.29,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,93.8,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,92.87,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,92.74,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,91.6,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,95.13,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,96.09,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,91.76,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,93.51,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,87.96,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,93.85,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
