PRODUCTO,MARCA,PRESENTACION,CATEGORIA,PRECIO,FECHAREGISTRO,CADENACOMERCIAL,ESTADO,MUNICIPIO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,41.26,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,40.53,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,42.63,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,40.2,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,42.15,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,41.44,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,40.14,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,42.03,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,40.06,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,41.72,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,40.19,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,REXONA,BARRA 50 G,CUIDADO PERSONAL,40.28,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,37.71,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,39.24,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,36.57,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,36.95,2025-08-15,WALMART,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,38.48,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,39.7,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,38.29,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,37.61,2025-08-15,SORIANA,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,39.81,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,36.28,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,39.36,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
DESODORANTE,AMMENS,POLVO 150 GR,CUIDADO PERSONAL,37.2,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,85.83,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,85.6,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,87.3,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,91.81,2025-08-15,WALMART,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,86.16,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,89.73,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,90.24,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,87.86,2025-08-15,SORIANA,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,89.42,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,85.11,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,85.08,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
SHAMPOO,HEAD & SHOULDERS,BOTELLA 700 ML,CUIDADO PERSONAL,86.38,2025-08-15,CHEDRAUI,COAHUILA,SALTILLO
